Editeur,Nationalite,Chambre,Duree,Review_title,Review_score,Commentaire
Widade,Maroc,Chambre Double Standard,1 nuit · mars 2022,Exceptionnel,10,A aimé  · le personnel top merci à mr El houssine aussi ❤️oujda
Sandrine,France,Chambre Double Supérieure,3 nuits · avril 2022,Merci à toute l’équipe !,"9,0","A aimé  · Un accueil irréprochable et un très beau riad, bien décoré et bien entretenu. L’odeur de fleur d’oranger dès l’arrivée mets dans l’ambiance ! Nous avons passé un super séjour. Petit déjeuner très copieux et bon. Riad extrêmement bien situé à quelques minutes de la place Jemaa El-fna. Nous reviendrons c’est sur !"
Mariem,France,Chambre Double Standard,2 nuits · mars 2022,"comme à la maison , personnels formidables et propreté  au top",10,"A aimé  · l’accueil, le sens du service la bienveillance et les petites déjeuner qui étaient juste somptueux. ils sont tous sans exception Adorable et super à l’écoute de nos demandes . les Femmes de services de chambres super gentille discrètes nous y avons séjourné deux fois lors de notre séjours nous l’avons surnommé : « La maison » car ont s’y sens comme chez nous en sécurité en confiance dorlotée !milles mercis"
Charlotte,France,Chambre Double Standard,4 nuits · mars 2022,Exceptionnel,10,"A aimé  · Le Riad est très bien situé, dans la médina, proches des places , des souk ! La chambre est spacieuse, très joliment décoré , le personnel est au petit soin !
N'a pas aimé  · Piscine non chauffé, chambre en rez de chaussée un peu bruyante.."
Hebjul,États-Unis,Chambre Double Supérieure,2 nuits · avril 2022,Super immersion au cœur de la ville,"8,0","A aimé  · Emplacement à 5 min à pied de la place Jemaa El Fna mais dans une petite rue plus calme, petit déjeuner sur la terrasse au top, beauté du lieu, le personnel, les prestations du spa
N'a pas aimé  · Petite odeur de renfermé / humidité dans la chambre"
Mickael,France,Suite Junior,2 nuits · avril 2022,séjour au top !!!,"9,0","A aimé  · Riad typique marocain avec une déco qui apaise et dépayse beaucoup !
Le personnel est au top, très courtois, très bon conseil et chaleureux !
N'a pas aimé  · rien."
Léa,France,Chambre Double Standard,1 nuit · avril 2022,exceptionnelle on reviendra,10,"A aimé  · accueil exceptionnel, avec une équipe formidable très à l’écoute et disponible. L’endroit est très apaisant, et décoré avec goût. La chambre et la salle d’eau très spacieuses pour 2 personnes. Petit dej copieux. Le rooftop est tres sympa. je recommande à 100%. de plus, il est très bien situé pour les visites culturelles.
N'a pas aimé  · rien tout est parfait"
Alexandra,France,Chambre Double Standard,1 nuit · mars 2022,Fabuleux,"9,0","A aimé  · Petit déjeuner traditionnel très bon, personnel aux petits soins et d'une grande gentillesse. Dîner aux chandelle sur la terrasse très bon également pour un prix raisonnable. Sans regret !"
Sylvain,France,Suite Familiale Deluxe,2 nuits · avril 2022,Très bien,"8,0","A aimé  · Tout étaient très bien et un personnel très gentil et très attentionné! encore merci  pour leur accueil chaleureux, leur petit déjeuner généreux et la beauté du Riad placé au milieu de la Médina."
Amandine,France,Chambre Double Standard,1 nuit · mars 2022,Très bien,"8,0","A aimé  · l’accueil vraiment parfait le personnel et adorable , très bon petit déjeuner.
N'a pas aimé  · nous étions coter ruelle dommage beaucoup de scooter passe.. et donc un peu de bruit là nuit .."
Daphne,France,Suite Junior,5 nuits · mars 2022,Fabuleux,"9,0",A aimé  · La gentillesse du personnel toujours au petit soin. L'emplacement
Maryam,France,Suite Familiale Deluxe,1 nuit · mars 2022,Exceptionnel,10,"A aimé  · Service, propreté, emplacement, calme, l'odeur et ambiance
N'a pas aimé  · Rien"
Magali,France,Suite Familiale Deluxe,4 nuits · mars 2022,"Agréable séjour malheureusement mauvais temps, pas trop profité de la terrasse","8,0","A aimé  · Petit déjeuner copieux, bon er varié          le riad est bien placé   à proximité de la place Jemaà el fna"
Camille,France,Chambre Double Supérieure,6 nuits · mars 2022,Endroit idéal,10,"A aimé  · Riad au top ! Emplacement idéal, une fois la porte fermée on se retrouve au calme, parfait pour un peu de repos. Grande terrasse ensoleillée.
Petit déjeuner copieux, personnel au petit soin, une chose est sûr nous reviendrons !!"
Rumeysa,France,Chambre Double Supérieure,3 nuits · mars 2022,Fabuleux,"9,0","A aimé  · Le riad est très bien situé, propre, le personnel est très accueillant."
Bach,Argentine,Chambre Double Standard,1 nuit · mars 2022,superbe,10,A aimé  · le personnel est exceptionnel. l’établissement et parfait. notre mellleur Riad de toute les vacances
Valérie,Canada,Suite Familiale Deluxe,2 nuits · mars 2022,Exceptionnel,10,A aimé  · Impecable
Hamza,Maroc,Chambre Double Supérieure,2 nuits · mars 2022,Exceptionnel,10,"A aimé  · Un havre de paix figé au milieu de la medina , équipe très serviable , je recommande vivement."
Naomi,Canada,Suite Junior,2 nuits · mars 2022,Un,10,"A aimé  · L’accueil et le service étaient vraiment parfaits. Personnel attentionné et disponible.Très bel endroit, calme et bien décoré. Bien situé pour s’immiscer au coeur de la médina et vivre le vrai Marrakech...La nourriture était aussi très bien. Bon déjeuner et bon dîner!! La terrasse permet de se déposer le temps de refaire le plein pour continuer nos visites... Bref, c’est une expérience en soi d’avoir le privilège d’y séjourner...simplicité et reposant dans un univers qui nous en fait voir de toutes les couleurs et de toutes les odeurs. Nos enfants âgés entre 12-15 ans ont beaucoup appréciés également. Merci encore..."
Fatou,Gabon,Chambre Double Supérieure,2 nuits · janvier 2022,Exceptionnel,10,"A aimé  · L'emplacement le petit déjeuner
Mes enfants étaient contents
N'a pas aimé  · RAS"
Justine,France,Chambre Double Supérieure,5 nuits · février 2022,Fabuleux,"9,0","A aimé  · le personnel était très agréable, Riad au calme, chambres spacieuses.."
Ilham,France,Chambre Double Standard,4 nuits · février 2022,Exceptionnel,10,"A aimé  · tout était parfait. Une équipe formidable, merci à Hamza qui nous a chouchouté. 
je recommande a 100%"
Nabila,Maroc,Suite Junior,1 nuit · février 2022,c était plutôt bon,"8,0","A aimé  · le bon accueil du personnel ; le calme ; la propreté
N'a pas aimé  · humidité dans la chambre d en bas"
Imane,France,Chambre Double Standard,1 nuit · février 2022,Je recommande et je reviendrai avec plaisir !,10,"A aimé  · Le personnel est au top ! serviable gentillesse et respect !
N'a pas aimé  · Le bruit des autres chambres (un couple qui faisait un peu trop de bruit la nuit…)"
Manal,Maroc,Chambre Double Standard,1 nuit · février 2022,"un endroit super magnifique, le personnel est tres aimable et serviable , j’y reviendrai sans hésitation",10,"A aimé  · cosy, simple , les chambres sont assez spacieuses ,le lit est hyper confortable , un bon petit dej, je recommande a 1000%"
Emilie,France,Suite Familiale Deluxe,3 nuits · février 2022,très bon séjour avec une équipe aux petits soins .,"9,0","A aimé  · chambre très confortable 
emplacement très bien situé 
disponibilité du personnel"
Saoussane,Maroc,Chambre Double Standard,1 nuit · février 2022,Exceptionnel,10,A aimé  · Top
Tarek,Maroc,Chambre Double Standard,3 nuits · janvier 2022,Super,"9,0","A aimé  · Le petit déjeuner, le personnel, le service
N'a pas aimé  · Le fait que les chambres ne disposent pas de télévision"
Wattinne,Guadeloupe,Chambre Double Supérieure,1 nuit · janvier 2022,Exceptionnel,10,A aimé  · Nous avons passe un super séjour au riad el walla super accueil endroit magnifique très bien situé avec une belle terrasse on recommande vivement
Arrach,Maroc,Suite Familiale Deluxe,2 nuits · janvier 2022,Très bonne équipe,10,A aimé  · Le seul problème est le stationnement
Jaihane,Maroc,Chambre Double Standard,2 nuits · janvier 2022,Exceptionnel,10,"A aimé  · Très beau riad. Propre, le personnel est accueillant, serviable.
N'a pas aimé  · Rien"
Mohamed,Maroc,Chambre Double Supérieure,3 nuits · janvier 2022,je reviendrais à ce Riad,"8,0","A aimé  · Emplacement ++++
Personnels ++++, serviables, très accueillants, emplacement à proximité de pas mal de commodités, loin du vacarme.
N'a pas aimé  · tout"
El,Maroc,Chambre Double Standard,3 nuits · décembre 2021,satisfait !,"8,0",A aimé  · Riad pénible avec un emplacement calme et un personnel accueillant ! je recommande vivement !
Sara,Maroc,Chambre Double Standard,3 nuits · décembre 2021,séjour calme et confortable dans un espace magnifiquement aménagé.,"9,0","A aimé  · La propreté , la réactivité du personnel à nos requêtes, le calme et la belle odeur des fleurs d'oranger dans le couloir du Riad. Nous avons également aimé la proximité de l'établissement de la plupart des monuments et musées de Marrakech.
Le beau arrangement de la terrace du Riad et le petit déjeuner près de la piscine avec le son des oiseaux .
N'a pas aimé  · Pas de Télévision dans la chambre. j'aurais aimé qu'il y ai des verres d'eau et des sachets de tisanes ou de cafés avec un thermos pour chauffer l'eau dans la chambre. Sinon tout était très bien, la femme de ménage Laila a eu la gentillesse de nous préparer un thé de bienvenue."
Mounir,Canada,Suite Junior,1 nuit · décembre 2021,Fabuleux,"9,0","A aimé  · Tout
N'a pas aimé  · Rien"
Benoit,France,Chambre Double Supérieure,1 nuit · décembre 2021,Très bien,"8,0","A aimé  · Personnel à l accueil super sympa que se soit la personne du matin ou du soir.
Petit déjeuner très bien.
Joli riad parfait pour les couples."
Laila,Maroc,Chambre Double Supérieure,1 nuit · décembre 2021,splendide,10,"A aimé  · service irreprochable, le personnel est sympa, serviable et surtout à l’écout.
la chambre est tres propre.
le petit-déjeuner est consistent et impecable.
tout était au top…on a passé un tres bon séjour à ce riad.
N'a pas aimé  · franchement rien… tout était au top!"
Francois,Maroc,Chambre Double Standard,2 nuits · décembre 2021,Fabuleux,"9,0",A aimé  · très bon rapport qualité prix
David,Belgique,Chambre Double Supérieure,1 nuit · décembre 2021,++,"9,0",A aimé  · Top
Thaïs,France,Chambre Double Supérieure,4 nuits · novembre 2021,très bon rapport qualité prix,"9,0",A aimé  · la déco de la cour intérieure
Beatrice,France,Chambre Double Standard,4 nuits · novembre 2021,Exceptionnel,10,"A aimé  · La gentillesse de tout le personnel
Le bon petit déjeuner chaques matin différent
La propreté
Le calme
Au top merci a vous de nous avoir aussi bien accueilli
A très vite
Kiki et Béa"
Jean,France,Chambre Double Supérieure,3 nuits · novembre 2021,Riad très agréable,10,"A aimé  · la taille de la chambre
N'a pas aimé  · les toilettes du RDC"
Youssef,France,Suite Junior,2 nuits · novembre 2021,Exceptionnel,10,"A aimé  · Tout était au top. Un très jolie riad. Le personnel était au petit soin avec nous et avec notre bébé. Abdellatif a été très serviable et a pourvu a tous nos besoins. 
Très bien situé à quelque minute de la place et des souks."
Mohammed,France,Chambre Double Supérieure,2 nuits · novembre 2021,séjour exceptionnel,"9,0","A aimé  · nous avons passé un excellent séjour à Riad El Walaa. le personnel est aux petits soins, un vrai petit déjeuner marocain aux produits frais. un havre de paix.
l’emplacement est exceptionnel à quelques pas de place Jamaa el fna ou de la medina
N'a pas aimé  · rien"
Fiona,France,Chambre Double Supérieure,2 nuits · novembre 2021,TRÈS BEAU SÉJOUR,10,"A aimé  · parfait 
très à l’écoute le personnel 
chambre très propre
Riad magnifique"
Maeva,France,Suite Familiale Deluxe,5 nuits · novembre 2021,Très beau riad au calme au coeur de la médina,10,"A aimé  · Nous avons adoré le calme du riad qui est au coeur de la médina, idéal pour tout faire a pied. Le personnel est aux petits soins et fait de votre séjour un véritable havre de sérénité! La décoration est superbe, les chambre très confortables. Un grand plus pour le confort et la grandeur du lit. Shoukran a tout le personnel !"
El,France,Suite Junior,4 nuits · novembre 2021,Fabuleux,"9,0","A aimé  · A 10 min à pied de la place jemaaa al fnaa à deux pas du marché aux épices, le Ryad ce situe dans un endroit idéals car il conjugue calme et apaisement ainsi que chaleurs grace aux nombreux commerce de proximité, très bien desservit par les taxi .  l’équipe est très sympathique, gentils, à l’écoute du réceptionniste qui connais les secret de Marrakech sur le bout des doigts et vous les partage si nécessaire aux serveur, cuisinière, femme de ménage … personnes chaleureuse et serviables. Petit déjeuner de qualité avec du choix, produis de qualité jus d’orange tous juste pressé… on reviendra sans faute !"
Olivier,France,Chambre Double Supérieure,4 nuits · octobre 2021,Séjour agréable avec le personnel très sympathique,"9,0","A aimé  · Joli Riad très bien placé dans la médina; bien équipée avec la piscine, le toit terrasse, et le spa. Excellent petit déjeuner !
N'a pas aimé  · rafraîchir les chambres un peu vieillottes, manque un frigo et une tv dans la chambre …"
Valentin,Italie,Chambre Double Supérieure,3 nuits · novembre 2021,Très bien ! Excellent rapport qualité prix 👍,"9,0",A aimé  · Personnels attentionnés. Chambres nickels. Petit-déjeuners copieux. Riad calme et bien décoré. Emplacement à une dizaine de minutes à pied de la grande place en passant par le souk.
Arnaud,France,Chambre Double Supérieure,7 nuits · novembre 2021,très bien,"8,0",A aimé  · petit déjeuné et personne super
Manon,France,Chambre Double Standard,4 nuits · novembre 2021,Je recommande vivement,"9,0",A aimé  · L'emplacement est parfait pour découvrir la médina. Le personnel est très accueillant et disponible. La terrasse permet de profiter d'un bon petit déjeuner au soleil
Eric,France,Chambre Double Standard,2 nuits · novembre 2021,Riad au top à Marrakech : 100% recommandé,10,"A aimé  · Belle surprise ce Riad. 
Aussi bien des prestations (chambre, accueil, conseils, décor, ...) que des personnes (mention particulière pour Abdélatif ...Merci pour les pâtisseries). Au plaisir de vous revoir."
Clemence,France,Chambre Double Supérieure,7 nuits · novembre 2021,Exceptionnel,10,"A aimé  · L'équipe était exceptionnelle, très à l'écoute et très attentive. 
Le riad correspondait en tout point à l'annonce. 
Le petit déjeuner sur la terrasse était également excellent ainsi que le service de hamman/massage.
N'a pas aimé  · Rien tout était parfait"
Betin,France,Suite Familiale Deluxe,3 nuits · novembre 2021,"Un lieu beau,  agréable et très bien situé. Petit déjeuner très complet !",10,"A aimé  · l’intimité du lieu au milieu de la Médina, le calme et la beauté de l’établissement. 
Le personnel est à l’écoute et disponible."
Tamisier,France,Chambre Double Supérieure,6 nuits · novembre 2021,Très bon séjour,"9,0","A aimé  · Très bon séjour de 8 nuits,  tout était parfait 
Tres bon emplacement,  personnel  aux petits soins , de bon conseil  pour les sorties, restos.
Nous reviendrons avec plaisir.
N'a pas aimé  · Mettre peut être des petits rideaux aux fenêtres 
Pour plus d intimiter et discrétion ! Ce qui éviterai de fermer les petits volets.
Après c est juste un détail."
Lagneau,France,Suite Familiale Deluxe,3 nuits · novembre 2021,excellent séjour,10,"A aimé  · vraiment nous avons passé un séjour très agréable dans un endroit magnifique comme sur les photos le personnel très sympa agréable disponible très courtois merci à toute l équipe pour votre disponibilité et votre service ( l excellent repas , le thé à la menthe très très bon et le petit déjeuner excellent. merci"
