Titre,Auteur,Date de publication,Nombre des Vus,Text Article,Lien 
"Le cinéma marocain s'ouvre au genre fantastique avec ""Achoura""","Majda Fadili,



LE MATIN",12 octobre 2022 à 10:43,,"Projeté dans les cinémas à partir du 12 octobre 2022, «Achoura», le premier film fantastique marocain, a été présenté, en avant-première, le vendredi 7 octobre à l’Institut français de Casablanca. La projection a eu lieu en présence de l’équipe du film, composée du réalisateur, Talal Selhami, des acteurs Omar Lotfi et Sofiia Manousha. D’autres noms des paysages médiatique et cinématographique ont pris part à cet événement, parmi lesquels le publicitaire Noureddine Ayouch, l'acteur Saïd Bey ou encore les actrices Sonia Okacha et Farah El Fassi.

Curieux et amateurs du genre se sont donné rendez-vous dans la salle obscure pour découvrir le cinéma marocain, sous un autre jour, avec la sortie nationale du long métrage «Achoura». Traditions, légendes urbaines, suspens, adrénaline… le film nous transporte mystérieusement dans les méandres du folklore marocain, où se côtoient créatures fantastiques et histoires d'antan.

Pour la genèse, «l'idée du film “Achoura” est tout d'abord née de mon amour pour le cinéma fantastique depuis que je suis tout petit. C'est tout naturellement que mon premier film, baptisé “Mirages”, est un thriller avec quelques airs fantastiques. Pour mon deuxième long métrage, je me suis dit que j'allais faire un film de monstres. J'aime ces créatures depuis mon jeune âge, je trouve qu'elles ont quelque chose à raconter, qu'elles sont touchantes. Je me suis également posé la question suivante : pourquoi faut-il toujours attendre les productions américaines pour proposer des films de ce genre au public marocain ? Nous pouvons avoir nos propres productions, en dehors des comédies et des films d'auteur pour que le spectateur puisse accéder à un large choix.
L'idée de “Achoura” a également jailli d'un cauchemar que j'ai fait et dans lequel je me voyais enfant face à un monstre. Suite à ce mauvais rêve, j'ai fait part de ma vision de cette créature à notre dessinateur pendant l'écriture du scénario pour qu'il puisse s'en inspirer», nous confie le réalisateur de «Achoura», Talal Selhami. Parmi les personnages phares du film, Nadia, une jeune femme qui fait partie de l’intrigue, du début jusqu’à la fin, incarnée par la talentueuse Sofiia Manousha. «Je suis heureuse de présenter “Achoura”, le premier film fantastique marocain. Je joue le rôle de Nadia, la femme de Ali, interprété par Younes Bouab. Le couple forme un trio d'amis avec Iván González qui joue le rôle de Stéphane. C'est l'histoire de ce groupe qui s'amuse à se faire peur, puis un jour, le petit frère de l'un d'eux disparaît pour réapparaître vingt ans après. Il faut voir le film pour connaître la suite de l'histoire. En tant que Marocains, c'est une fierté pour nous d'avoir un film fantastique, produit au Maroc, qui est diffusé partout dans le monde et qui a raflé par la même occasion des prix internationaux. C'est une première pour le cinéma marocain, nous en sommes très fiers. En termes de production, de réalisation et d'effets spéciaux, ce film est une vraie pépite et je suis fière d'avoir participé à ce projet», explique la jeune actrice, également réalisatrice.
Au-delà de la prouesse technique, le film «Achoura» se distingue également par ses protagonistes attachants, dont Samir, un personnage poignant confié à Omar Lotfi : «J’ai joué un rôle composé, un peu difficile à incarner. J’aime quand on me confie ce genre de rôles qui sont différents de ma personnalité, de mon apparence, ils me sortent de ma zone de confort. Il faut se diversifier, car le public est multiple et il y a une vraie demande en matière de films fantastiques ou d'horreur. On constate un manque en ce qui concerne cette catégorie cinématographique dans l’offre nationale. “Achoura” vient donner le la et raconter une histoire à travers ce prisme fantastique. Ce film est une valeur ajoutée pour le répertoire cinématographique marocain», déclare l’artiste. L’audace et la prise de risque paient, puisque la production fantastique «made in Morocco» a trouvé écho auprès des amateurs du genre : «Je suis très agréablement surpris par l'accueil à l'étranger. Les Coréens, par exemple, n'avaient jamais vu de film marocain auparavant, aux États-Unis non plus, ils découvrent un peu le Maroc au travers de cette production. Le fantastique est un genre cinématographique qui s'exporte facilement, la preuve “Achoura” s'est vendu aux quatre coins du monde, et on termine par son berceau, le Maroc» , confie Talal Selhami. «Achoura» a remporté le prix du meilleur film au Festival Hardline en Allemagne et la Mention Spéciale du jury au Festival du film fantastique de Sitges. Le film a été distribué au Japon, en Russie, en Scandinavie, aux États-Unis, puis au Maroc. Sa sortie nationale a été reportée en raison de la pandémie.


",https://lematin.ma/express/2022/cine-marocain-ouvre-genre-fantastique-achoura/381822.html
La Banque Populaire d’Oujda inaugure sa Galerie d’art,LE MATIN,11 octobre 2022 à 10:36,,"
La Banque Populaire d’Oujda a inauguré sa Galerie d’art, le jeudi 6 octobre 2022. Situé au siège de la Banque Populaire d’Oujda, ce nouvel écrin artistique a aussi pour vocation  de sensibiliser le public à l’art sous toutes ses formes (la photographie, la peinture ou la sculpture,  le design, l’artisanat) et à la culture à travers des expositions temporaires thématiques. Il permettra  aux visiteurs en général et aux clients de la Banque, une immersion totale dans le monde de l’art.
“Outre son engagement réitéré de soutien au développement économique et social de la région,  la Banque Populaire a souhaité, à travers l’inauguration de la Galerie d’Oujda, réaffirmer sa mission  d’accompagnement et de soutien à la dynamique culturelle et artistique locale. Ce nouvel espace  culturel se donne pour mission de promouvoir et valoriser le capital immatériel de la région et se veut donc une vitrine de choix pour les artistes locaux mais aussi un lieu de rencontres, de créativité et d’apprentissage”, a déclaré Jalil Sebti, Directeur Général de la Banque Commerciale du groupe  BCP.
“Quelques mois après l’inauguration de son nouveau siège social, la Banque Populaire d’Oujda  étrenne aujourd’hui sa galerie d’art, aménagée suivant les standards professionnels les plus  reconnus. Ce nouvel espace d’art permettra d'apprécier la richesse artistique de la région et  contribuera à rapprocher les individus et nourrir le dialogue”, souligne, pour sa part, Ahmed Mahrous, Président du  Directoire de la Banque Populaire d’Oujda.
Le nouvel espace culturel abritera jusqu’au 28  février 2023 sa première exposition « Expressions plurielles » qui propose de découvrir huit  talents incarnant la richesse de la création artistique locale. Le potentiel artistique et la profusion de créations de la région mêlant tableaux, sculptures,  assemblages et performances, seront ainsi mis à l’honneur lors de cette exposition. La Galerie offre ainsi un espace d’exposition pour les œuvres  réalisées par huit artistes de la région ancrés dans l’univers de l’art moderne et contemporain : Said  Afezyoum, Siham Badr, Mohamed Benhamza, Imane El Mezgueldi, Jaouad Embarki, El Yazid  Kherbache, Sara Laouini, Nourreddine Madrane.


",https://lematin.ma/express/2022/oujda-banque-populaire-inaugure-galerie-dart/381782.html
"""Le bleu du caftan"" de Maryam Touzani remporte trois prix internationaux",LE MATIN,11 octobre 2022 à 09:54,,"""Le bleu du caftan"", long métrage de la réalisatrice marocaine Maryam Touzani, a été triplement sacré ce week-end, en remportant le Prix du public au 40ème Festival du cinéma méditerranéen Arte-Mare de Bastia, ainsi que le Prix de l’Association grecque des critiques de cinéma et le Prix du public au 28ème Festival international du film d’Athènes.

Après Cannes, où il a remporté le Prix de la critique internationale, ces derniers prix viennent se joindre aux autres récompenses récentes : Prix de la mise en scène et Prix du meilleur acteur pour Saleh Bakri au Festival du film francophone d'Angoulême, ainsi que le Prix de la meilleure actrice pour Lubna Azabal, Prix du meilleur acteur pour Saleh Bakri et Prix de la critique au Festival international du film de Valenciennes.

Le film, produit par Nabil Ayouch et coproduit par Amine Benjelloun, a en outre été sélectionné récemment dans la prestigieuse section “Special Presentations” du Festival international du film de Toronto, où le long-métrage a été présenté aux côtés de films comme “The Fabelmans” de Steven Spielberg, “Empire of Light” de Sam Mendes ou encore “The Triangle of Sadness” de Ruben Östlund, Palme d’Or 2022.

“Le bleu du caftan” raconte l’histoire de Halim et Mina, un couple tenant une boutique de Caftans dans la médina de Salé, rejoint par Youssef, un jeune apprenti qui partage avec son maalem, Halim, la même passion sincère pour la couture. Le film parle de transmission, de tradition et d’amour.

Au casting, on retrouve Saleh Bakri, Lubna Azabal et Ayoub Missioui.

“Le bleu du caftan"", qui a été choisi pour représenter le Maroc aux Oscars, sera distribué dans une trentaine de pays dans le monde, y compris l’Amérique du nord, où le prestigieux magazine spécialisé dans le cinéma ''The Hollywood Reporter'' a qualifié le film ''d’œuvre d’une beauté 'faite à la main''', alors que Screen International le décrit comme ''magnifiquement texturé… une offrande superbement interprétée et émotionnellement résonnante''. Le film est distribué aux États-Unis par Strand Releasing. Plusieurs magazines spécialisés américains en ont déjà fait un des sérieux prétendants dans la course aux Oscars.

Dans les semaines qui viennent, “Le bleu du caftan” continuera sa course dans plusieurs festivals internationaux : Haïfa, BFI (Londres), Valladolid, Hambourg, Mills Valley, Chicago, Philadelphie…

",https://lematin.ma/express/2022/bleu-caftan-long-metrage-maryam-touzani-remporte-trois-prix-internationaux/381780.html
Le Festival International du Film de Marrakech 2022 dévoile son jury,LE MATIN,11 octobre 2022 à 09:39,1286,"
Le Festival International du Film de Marrakech, se tenant du 11 au 19 novembre 2022, a levé le voile sur la composition de son jury réunissant l’acteur et producteur américano–guatémaltèque Oscar Isaac, l’actrice britannique Vanessa Kirby, l’actrice allemande Diane Kruger, le réalisateur australien Justin Kurzel, la réalisatrice et actrice libanaise Nadine Labaki, la réalisatrice marocaine Laïla Marrakchi et l’acteur français Tahar Rahim.
Représentant dix pays différents en provenance de quatre continents, le jury de cette 19e édition se veut multiple, à l’image du Festival International du Film de Marrakech, une manifestation qui célèbre le cinéma mondial.
Le jury international du FIFM, présidé par le réalisateur et scénariste italien, Paolo Sorrentino, décernera l’Étoile d’or à l’un des 14 premiers et seconds longs-métrages de la compétition, dédiée à la découverte de cinéastes à travers le monde.


",https://lematin.ma/express/2022/festival-international-film-marrakech-2022-devoile-jury/381777.html
"2M lance l'émission ""Dream artist"" pour soutenir les talents marocains",LE MATIN,10 octobre 2022 à 14:04,,"
La chaîne de télévision 2M dévoile ""Dream artist"", un nouveau format d'émission dédiée à l'art visuel. Diffusé tous les lundis à 21h50, le programme vise à dénicher des talents marocains et à les accompagner pour une professionnalisation de leur carrière.
L'émission a reçu 1.000 candidatures provenant de différentes disciplines, dont la photographie, la sculpture, la peinture, le graffiti, l’installation, le digital art et l’art urbain. A l'issue du casting, 12 candidats, provenant des différentes régions du Royaume, ont été retenus par le jury de la compétition composé de Hassan Sefrioui, galeriste, Syham Weigant, commissaire d’exposition, Amine Boushaba, critique d’art, l’artiste Safaa Erruas, et Said Guihia, directeur de l’Ecole supérieure des Beaux-Arts de Casablanca.
Dans un esprit compétitif, les candidats devront s’affronter autour d’une thématique choisie en fonction de l’invité d’honneur durant les 8 primes de l’émission. A la fin du dernier épisode, un seul candidat sera déclaré vainqueur et remportera un accompagnement personnalisé comprenant des formations ciblées qui lui serviront à la réalisation et à la promotion de son exposition individuelle.
«Chez 2M, nous nous sommes toujours donnés pour mission de découvrir et de promouvoir les talents marocains dans différentes disciplines. Avec Dream artist nous avons pour nouvelle ambition de dénicher et célébrer des talents dans la peinture, la sculpture, la photo ou encore le street art. Le domaine des arts visuels trouvera une nouvelle place dans notre grille et en prime-time», déclare Salim Cheikh, Directeur Général de la chaîne de télévision 2m dans un communiqué.


",https://lematin.ma/express/2022/2m-lance-lemission-dream-artist-soutenir-talents-marocains/381760.html
Mondial Qatar 2022 : plus de 3 millions de vues en 2 jours pour l’hymne signé RedOne,LE MATIN,10 octobre 2022 à 10:07,,"
Réunissant les deux artistes marocaines Manal Benchlikha et Nora Fatehi, “Light the sky”, un des hymnes officiels de la Coupe du monde 2022 a atteint plus de 3 millions de vues sur la plateforme Youtube, en seulement deux jours.
Signé RedOne, “Light the sky” a affolé les compteurs dès sa mise en ligne. Après le titre “Arhabo” rassemblant le rappeur Gims et la star de la trap latino Ozuna, le producteur marocain, nommé Directeur exécutif divertissement à l’occasion de cette grand-messe sportive, a opté pour un casting 100% féminin pour le deuxième hymne de l’événement mondial. Dévoilé le 7 octobre, le clip rassemble Manal Benchlikha et Nora Fatehi, la chanteuse yéménite Balkyss Fethi ainsi que l’Irakienne Rahma Riad qui chantent en anglais, arabe et français sur des mélodies pop entraînantes. La chanson “Light the sky” s’est hissée à la deuxième place des tendances Youtube au Maroc.


",https://lematin.ma/express/2022/coupe-monde-3-millions-vues-2-jours-lhymne-chante-manal-benchlikha/381742.html
Salé retrouve la traditionnelle procession des cierges en commémoration de l'Aïd Al-Mawlid Al-Nabawi,LE MATIN,09 octobre 2022 à 10:55,,"Après deux années de rupture, la traditionnelle procession des cierges a sillonné, samedi, les principales artères et places de la ville de Salé en commémoration de l'Aïd Al-Mawlid Al-Nabawi Acharif.

La procession des cierges, qui marque le début du Moussem de la Zaouïa Hassouniya organisé sous le Haut patronage de SM le Roi Mohammed VI, a pris son départ après la prière d'Al Asr de la porte séculaire ""Bab Bouhaja"" en direction du Mausolée de Sidi Abdellah ben Hassoun.
Le défilé a déambulé par les principales artères de la ville et a été suivi par une foule nombreuse venue apprécier un cortège marqué par la participation de plusieurs groupes folkloriques issus des différentes régions du Royaume ainsi que de plusieurs participants en provenance de pays d'Afrique subsaharienne qui ont animé des passages musicaux accompagnés de danses africaines traditionnelles.

A cette occasion, le coordinateur de cette manifestation, Abdessalam El Bakkari, a mis en avant dans une déclaration à la MAP, la particularité des festivités marquant ce Moussem organisé annuellement depuis des siècles par les Chorfas Hassouniyines.

Ainsi, il a fait observer que les cierges, qui pèsent 50 kilogrammes forment une mosaïque sur des structures en bois représentant des minarets ou des ruches d'abeilles, ajoutant que ""la procession des cierges est l'une des belles et louables traditions de la ville de Salé et des Chorfas Hassouniyines, dont les racines remontent jusqu'en 1578"".

Pour sa part, le doyen des Chorfas Hassouniyines, Abdelmajid El Hassouni, a indiqué que l'événement de cette année est organisé sous le signe ""Le Maroc de la créativité, de la gratitude et des valeurs humaines"", dans le but de diffuser les principes et valeurs islamiques.

Selon M. El Hassouni, cette tradition reflète l'attention particulière accordée par SM le Roi Mohammed VI au patrimoine matériel et immatériel du Royaume.

Au programme du Moussem figurent des soirées du patrimoine musical authentique et des conférences.

",https://lematin.ma/express/2022/sale-retrouve-traditionnelle-procession-cierges-commemoration-lid-al-mawlid-al-nabawi/381733.html
«Science et conscience» pour transmettre un héritage soufi ancestral,"Ouafaa Bennani,",09 octobre 2022 à 10:05,,"Le Festival de Fès de la culture soufie revient, du 22 au 28 octobre, dans sa quinzième édition qui sera dédiée à feu Charif Moulay Abdellah Ouazzani. Une conférence de presse a été tenue à ce propos à Paris, en présence des représentants de l’Ambassade du Maroc, de l’ONMT, des directeurs de la Fondation Maison du Maroc, des représentants d’Ambassades étrangères et de nombreux artistes et conférenciers.

«Science et conscience» est la thématique de cette édition qui va réunir près de 200 participants de 20 pays, dont des artistes et des chanteurs spirituels du Maroc et de confréries du monde (Inde, Azerbaïdjan, Turquie, Kosovo, Syrie, France, Perse). Et ce dans le souffle de la transmission de l’héritage culturel et civilisationnel du soufisme. Interviendront à ce sujet des conférenciers et penseurs dans la science soufie qui vont débattre de la relation du soufisme avec la société, puis la relation entre la foi et la pensée mentale, entre Ghazali et Ibnou Rochd… et comment on peut utiliser ces valeurs et ce patrimoine dans la civilisation islamique qui se distingue par sa tolérance de la diversité culturelle et religieuse. «La thématique de cette année est une approche de ce que renferme la culture soufie comme notions sur les valeurs, les pratiques et l’éducation spirituelles. Elle tourne, aussi, autour des pensées intellectuelles et culturelles différentes des livres soufis des grands cheikhs comme Ibn Arabi, Jalal Eddine Roumi, Ibn Al-Fârid, Al Shushtari et autres ; tous des noms très importants dans les cultures soufies à travers le monde», souligne le président du Festival de Fès de la culture soufie, Faouzi Skali. Et d’ajouter que le patrimoine soufi maghrébin est lié profondément à la réalité locale, car l’histoire des Zaouaya est en étroite relation avec l’histoire générale de ces pays. «Par exemple, le Maroc est connu pour être le pays des “Aouliya” (Saints), puisqu’il y a un enracinement des valeurs soufies et concepts soufis, et ce depuis des siècles. C’est le socle du concept religieux au Maroc». C’est ce qui permet la préservation des traditions des musiques soufies, tout en leur donnant une interprétation à la fois vivante et inspirée.

Création d’ouverture

Pour le programme de cette année, le public pourra assister à la création d’ouverture qui propose une immersion dans la cour moghole indienne, où les virtuoses de la musique hindoustanie de l’Inde du Nord, les interprètes de chant soufi Qawwali et de la danse kathak seront réunis pour mettre en lumière un prince soufi indien du XVIIe siècle, Dârâ Shikôh et ses actions en faveur de la coexistence fructueuse des religions. En s’appuyant sur l’ouvrage du XIIe siècle de Nizami Gandjani, Khusrow et Shirine, l’initiation spirituelle par les arts est au centre des master class. Elles permettront d’apprendre et de pratiquer dans des lieux de patrimoine de la cité fassie.

Les autres concerts

Dans le prolongement de cette thématique, quatre concerts exceptionnels permettront de découvrir l’ensemble du Samaa Orchestra, l’art du Mugham d’Azerbaïdjan inspiré de la poésie soufie de Nizami, la musique indienne hindoustanie ou la danse kathak portées par une jeune génération de virtuoses exceptionnels. Le Festival accueillera pour la première fois l’ensemble de musiciens et de derviches tourneurs turcs de Konya pour un grand «Samaa mevlevi», en référence au célèbre poème des «Rubâi'yât» de Rûmî, «Les atomes dansent», évocation poétique de la conception scientifique des atomes au XIIIe siècle. La création de clôture rendra hommage au grand maître marocain du soufisme arabo-andalou, Muhammad Al-Harrâq, célébré en tant que maître de la «Voie par la beauté» et dont l’œuvre poétique sera chantée par les plus grandes voix du chant arabo-andalou.

Tables rondes et masters class

Cette quinzième édition qui accueillera des tables rondes et des masters class (avec plus de 60 intervenants provenant de 15 pays) permettra de mieux appréhender la façon dont s’est articulée cette relation entre science et conscience ou encore foi et raison à travers l’histoire dans la civilisation de l’Islam dans ses connexions avec divers courants de culture et de pensée, jusqu’à aujourd’hui. Seront également questionnées les relations entre les sciences, les religions et plus globalement les spiritualités. D’éminents spécialistes du dialogue entre science et foi venus des quatre coins du monde, mais aussi des représentants des différents cultes participeront à ces débats.

Hommage au moine de Tibhirine

Un émouvant récital de chants bretons et soufis consacrés aux «Sept Dormants» rendra hommage au moine rescapé de Tibhirine disparu récemment au monastère de Midelt, frère de Jean-Pierre Schumacher. Dans l’esprit de ce partage artistique et inter-cultuel, l’ensemble judaïque Matruz donnera un concert de chants Piyyoutim à la Synagogue Danane.

Exposition «Les manteaux des éveillés»

L’exposition «Les manteaux des éveillés», suivie d’un concert de sitar indien, ouvrira le Festival et le programme artistique sur le thème de l’éveil de la conscience. L’art contemporain apportera ainsi son regard sur la transmission traditionnelle soufie de l’influx divin et prophétique à travers le manteau ou «khirqa».

",https://lematin.ma/express/2022/science-conscience-transmettre-heritage-soufi-ancestral-differentes-cultures-civilisations/381712.html
DJ Yasmean : la force tranquille de la scène électronique marocaine,"Majda Fadili,",08 octobre 2022 à 12:25,,"Du haut de ses 28 ans, Yasmine S’haki, alias Yasmean, est l'une des porte-étendards de la scène électronique marocaine. À la manière d’Obélix, elle est tombée dans la marmite de la musique alors qu'elle était encore dans le ventre de sa mère à bouger aux rythmes des tubes de Jamiroquai. Mélomane jusqu'au bout des ongles, elle fait de l’underground son terrain de jeux pour nous livrer des sets pluriels qui font sa signature unique, ce qui l’a amenée à être la première Marocaine à être programmée à Boiler Room, à l’occasion du festival Atlas Electronic de Marrakech. Après avoir fait vibrer la scène de l’Oasis Festival en 2015 puis en 2019, DJ Yasmean a réitéré l’expérience à l’occasion du nouveau concept festif Into The Wild qui s’est tenu à Dakhla, les 23 et 24 septembre 2022. «Le Matin» a rencontré «le caméléon» de la scène underground marocaine à cette occasion.

Le Matin : Devenir DJ était un rêve d’enfant pour vous ?
Yasmean : La musique a toujours fait partie de ma vie, même quand j’étais dans le ventre de ma mère et que je donnais des coups en rythme sur la musique de Jamiroquai. Plus jeune, j’avais pour passion de faire des playlists et de télécharger mes titres préférés. La musique était omniprésente à la maison, puisque ma mère, à son tour, collectionnait les cassettes et mon père fut DJ durant sa jeunesse en France. À l’âge de 19 ans, l’envie de partager ma passion, au-delà de mon cercle intime, a commencé à se faire ressentir et je me sentais capable de le faire. En 2013, j’ai mixé pour la première fois au festival «Nuits Sonores», à l’occasion de son édition spéciale délocalisée à Tanger. Je suis sélective quant aux propositions que je peux recevoir, je veux continuer à faire ce que j’aime et rester en accord avec moi même. Je suis autodidacte, on m’a appris les bases au début, j’étais bien entourée. Une fois dans le bain, on tâte, on réussi puis on se rate des fois, mais une fois les bases acquises, les choses se font naturellement. La technicité n’est pas tout pour moi, mais elle reste importante, car on n'a pas envie de faire mal aux oreilles du public par exemple. Il m’a fallu plusieurs années pour affiner ma technique, mais aussi ma culture musicale que je continue à alimenter. Quant à mon univers musical, je ne peux pas le définir, il est pluriel, car il dépend de mon humeur, du lieu où je me trouve et du public que j’ai en face de moi.

Quelles ont été les difficultés rencontrées à vos débuts ?

J’ai commencé à 19 ans dans un milieu qui est assez masculin et assez restreint en termes d'opportunités, mais je ne me suis jamais estimée victime dans ce contexte. Depuis que j’ai commencé à mixer, les personnes que j’ai pu croiser ont été très bienveillantes avec moi. Les femmes se font rares dans le milieu, ce qui fait que je ne passais pas inaperçue, entre ceux qui apportent leur soutien et ceux qui font preuve de maladresse. Les embûches ou préjugés auxquels j’ai pu faire face ne m’ont jamais découragée, je fais mon chemin en gardant en tête mes objectifs, et mon amour pour la musique prend le dessus sur tout ce qui pourrait parasiter ma motivation. Il faut être forte et avancer en se nourrissant uniquement des bonnes énergies autour !

Comment peut-on décrire au mieux votre univers musical ?

Je suis une sorte de caméléon. Plusieurs inspirations cohabitent dans mon univers, mais je reste très underground. Pour moi, il est important d’aller au-delà du mainstream et de faire en sorte de toujours me challenger à trouver des sonorités et des artistes qui n’ont toujours pas été explorés jusqu’à présent. J’aime faire écouter aux gens des musiques auxquelles ils ne sont pas familiers et de voir leurs réactions. Prenons l’exemple du genre Jungle qui est un style de musique électronique, apparu dans les années 1990 en Angleterre et que j’ai pu découvrir à travers des jeux vidéo quand j’étais plus jeune. J’ai toujours trouvé ces sonorités exceptionnelles et j’avais envie de le faire découvrir à travers certains de mes sons. Je suis personnellement multi-facettes, et mon univers musical est à mon image, je suis une personne intuitive et je puise pas mal dans mon passé qui nourrit mes sets, les fondations de mes inspirations et mes goûts y sont ancrés.

Le DJing est souvent pratiqué par des autodidactes qui se perfectionnent au fur et à mesure. Y-a-t-il quelque chose d'inné dans ce métier ?

Ce qui est inné est cette sensibilité que l’on peut avoir, cette curiosité, j’ai toujours été intriguée par ce qui se passait autour de moi, notamment la musique omniprésente depuis mon enfance. C’est cette sensibilité chez moi qui a fait que cette histoire d’amour dure depuis toujours. On ne naît pas DJ, on le devient, mais le fait d’être réceptif à la musique est quelque chose d’inné, c’est dans les veines.

Pensez-vous que la scène électronique marocaine a sa place dans les plus grands festivals du monde ?

Absolument ! Je m’en rends compte lorsque je croise des gens venus de l’étranger. En échangeant avec eux, ils se disent conquis par la scène marocaine. Le potentiel est là, on a tout à donner et tout à prouver. Nous avons encore du chemin à faire, car la crise de la Covid nous a coupé l’herbe sous le pied pile au moment de l’apogée de la scène nationale, entre festivals et showcases. Après cette pause imposée, nous reprenons, petit à petit, pour renforcer notre position de référence en matière de musique électro en Afrique du Nord. J’estime qu’il faut briller dans son pays avant de rayonner à l’international, le rap et la trap marocaine qui rencontrent un grand succès en sont de parfaits exemples.

Quels conseils pouvez-vous donner aux femmes qui veulent devenir DJ ?

Juste faites-le, osez ! Il ne faut pas se minimiser et se laisser décourager pour une raison ou une autre. Il faut se lancer pour l’amour de la musique, de la scène et du partage. Soyez courageuses tout en faisant attention à vous protéger des mauvaises énergies et à bien vous entourer. Je suis heureuse d’avoir été jusqu'au bout de mon rêve et je tiens à le poursuivre jusqu’au bout. Il ne faut pas hésiter à demander conseil aux personnes expérimentées qui peuvent vous rassurer ou vous guider. Ma porte est grande ouverte et je suis prête à répondre à toutes les questions si ça peut aider de jeunes femmes à se lancer et à réaliser leur rêve.

",https://lematin.ma/express/2022/dj-yasmean-tranquille-sce-electronique-marocaine/381701.html
L’Atelier 21 sélectionné pour la 10e édition de la foire d’art contemporain africain 1-54,LE MATIN,08 octobre 2022 à 12:00,,"
La galerie d’art L’Atelier 21 a été sélectionnée pour participer à la dixième édition de la foire d’art contemporain africain 1-54, qui se déroule du 13 au 16 octobre 2022 à la Somerset House de Londres. Pour sa participation à cette 10e édition de la foire londonienne, L’Atelier 21 exposera des œuvres des artistes M’barek Bouhchichi et Hassan Hajjaj. Ces deux artistes explorent les possibilités de la figuration, chacun selon un médium et un univers plastique différents. Chacun possède une manière de se saisir du monde qui nous ouvre davantage les yeux et nous permet de le voir autrement. En proposant d’exposer ces artistes, aux parcours divers, la galerie souhaite mettre en avant les nombreuses possibilités d’expression que revêt la nouvelle figuration sur la scène artistique africaine.

",https://lematin.ma/express/2022/latelier-21-selectionne-dixieme-edition-foire-dart-contemporain-africain-1-54/381702.html
L’artiste Kassita expose ses œuvres à la DS Gallery,"Haytam Boussaid,",08 octobre 2022 à 09:25,,"​Rassemblant des Cassettes audio qu’il collectionne depuis de nombreuses années, l’artiste Younes Miloudi « Kassita » crée des portraits uniques rendant hommage aux chanteurs et musiciens du Maroc, d’Afrique et du monde arabe.

La DS Gallery a accueilli jeudi dernier, les portraits de l’artiste Youness Miloudi alias Kassita. C’est en partenariat avec DS Automobiles et la galerie itinérante Art First que le jeune marocain a exposé une trentaine de ses portraits d’artistes chanteurs et musiciens du Maroc et du monde arabe, ayant marqué leur temps. Le but étant de rendre hommage à la musique d’hier et d’aujourd’hui.
DS Gallery lancé par Sopriam est le premier concept de galerie d’art pour un concessionnaire automobile au Maroc. Dédié à la culture et à la promotion des artistes marocains, la DS Gallery a soutenu l’exposition « Kassita Play It Again » en invitant des journalistes de divers supports ainsi que des clients des trois marques de Sopriam.
Selon l’artiste Youness Miloudi, cette exposition est une sorte de voyage à travers différents courants musicaux, de la musique arabe venue d’Egypte avec celle que l’on surnomme l’astre d’orient Oum Keltoum, aux sons de l’Aita des divas marocaines telles que Kharboucha, en passant par la musique Folk de Jil Jilala, ou encore Al Musiqa Al Amazighia que l’iconique Mohamed Rouicha a sublimé tout au long de sa carrière.
Lauréat de l’école des Beaux-Arts de Casablanca, l’artiste passait son temps en immersion dans le studio d’enregistrement de son oncle à Oujda, au contact des vidéos où il a appris le travail de montage sur cassettes VHS. Et c’est à l’école, au cœur de l’atelier de recyclage, qu’il a commencé à créer des objets artistiques à partir de matériaux usés. C’est ainsi qu’il a eu l’idée d’utiliser les VHS, cassettes audio et pochettes comme support à sa création, auxquels il ajoute peinture et assemblage d’objets divers.

",https://lematin.ma/express/2022/lartiste-kassita-expose-oeuvres-ds-gallery/381706.html
"“L’Etranger”, le nouveau single de Don Bigg en featuring avec Réda Taliani","Zoubida Senoussi,",07 octobre 2022 à 11:02,,"
Don Bigg marque son grand retour sur la scène musicale avec un nouveau single intitulé “l’Etranger” dont il partage l’affiche avec la star du rai algérien Réda Taliani. Un avant-goût du nouvel album qui sera dévoilé pour les fans dans les semaines à venir.
La réalisation du clip a été confiée à Farid Malki, qui raconte à travers les images l’histoire de deux jeunes qui rêvent d’un avenir meilleur malgré les obstacles vécus depuis leur naissance dans l’un des bidonvilles de Casablanca.
A travers cette chanson le rappeur met la lumière sur les rêves de la jeunesse d’une catégorie sociale marginalisée mais ambitieuse et qui garde l’espoir d’avoir une vie meilleure
“Il s’agit est l’histoire de deux jeunes issus de milieu défavorisé, qui partagent les mêmes rêves et ambitions mais avec deux visions différentes. Le premier rêve de quitter le pays pour améliorer sa situation et celle de sa famille, le deuxième préfère faire face aux obstacles de la vie pour améliorer sa situation et sortir de l’exclusion et de la marginalisation”, explique Don Bigg dans un communiqué.
Cette nouvelle chanson a été dévoilée ce vendredi 7 octobre à minuit sur la chaîne Youtube du rappeur marocain et cumule déjà plus de 181 000 vues en moins de 24 heures. Elle sera disponible également en téléchargement sur Spotify, Apple Music, Deezer et Anghami.


",https://lematin.ma/express/2022/letranger-nouveau-single-don-bigg-featuring-reda-taliani/381685.html
